siteIDPartRs,datePartRs,bandNumberPartRs,typePartRs,notesPartRs
KIMBMARGA1,2017-01-04,2701-39017,P,noData
KIMBMARGA1,2017-01-06,2711-54702,P,noData
KIMBMARGA1,2017-01-19,2711-58029,P,"This bird still has an injured leg/foot. She has trouble perching. She tries to grab a twig, or tries to rest her tarsus on a twig, but is unable to do so. I wonder if the bands are inhibiting her from resting her tarsus on a twig? But, she does show up ocdasionally, so I presume she is surviving OK."
KIMBMARGA1,2017-02-01,2701-39017,P,noData
KIMBMARGA1,2017-02-03,2711-54702,P,noData
KIMBMARGA1,2017-02-03,2711-58029,P,noData
KIMBMARGA1,2017-03-06,2711-54702,P,noData
KIMBMARGA1,2017-04-06,2701-39016,P,First time seen since banded!
KIMBMARGA1,2017-04-11,2701-39017,P,Feeding an un-banded female
KIMBMARGA1,2017-04-24,2711-58029,P,"Leg still ""gimpy"". Manages OK."
KINGDAVMA1,2016-04-11,2371-04325,N,"rsNeighbor 676 East pleasant street, amherst"
KINGGEOMA1,2014-05-06,2531-91116,P,noData
KINGGEOMA1,2014-08-14,2690-87899,P,noData
KINGGEOMA1,2016-05-15,2651-17152,P,It is still hanging around as of June 9
KINGGEOMA1,2016-06-09,2651-17152,P,noData
KINGHOPPA1,2014-08-30,2730-26301,P,noData
KNIGSALVA1,2009-04-12,2341-30134,P,"yearColumn = 2008, banded_3 Jul; yearColumn = 2009, resighted by participant 12 april, 8 august, 13 Sept; yearColumn = 2010, resighted by participant 1, 16 April"
KNIGSALVA1,2009-04-21,2301-56867,P,"yearColumn = 2008, banded_3 Jul; yearColumn = 2009, resighted by participant 21 april; yearColumn = 2010, resighted by participant 8 Jan 2011"
KNIGSALVA1,2009-04-21,2301-56868,P,"yearColumn = 2008, banded_3 Jul; yearColumn = 2009, resighted by participant 21 april"
KNIGSALVA1,2009-04-21,2301-56869,P,"yearColumn = 2008, banded_3 Jul; yearColumn = 2009, resighted by participant 21 april"
KNIGSALVA1,2009-04-21,2301-56870,P,"yearColumn = 2008, banded_3 Jul; yearColumn = 2009, resighted by participant 21 april"
KNIGSALVA1,2009-08-08,2341-30134,P,"yearColumn = 2008, banded_3 Jul; yearColumn = 2009, resighted by participant 12 april, 8 august, 13 Sept; yearColumn = 2010, resighted by participant 1, 16 April"
KNIGSALVA1,2009-09-13,2341-30134,P,"yearColumn = 2008, banded_3 Jul; yearColumn = 2009, resighted by participant 12 april, 8 august, 13 Sept; yearColumn = 2010, resighted by participant 1, 16 April"
KNIGSALVA1,2010-01-08,2301-56867,P,"yearColumn = 2008, banded_3 Jul; yearColumn = 2009, resighted by participant 21 april; yearColumn = 2010, resighted by participant 8 Jan 2011"
KNIGSALVA1,2010-01-08,2590-82234,P,"yearColumn = 2009, banded 7/13; yearColumn = 2010, resighted by participant 8 Jan 2011; yearColumn = 2011, resighted by participant 6 March"
KNIGSALVA1,2010-04-01,2341-30134,P,"yearColumn = 2008, banded_3 Jul; yearColumn = 2009, resighted by participant 12 april, 8 august, 13 Sept; yearColumn = 2010, resighted by participant 1, 16 April"
KNIGSALVA1,2010-04-11,2411-37164,P,"yearColumn = 2009, banded 7/13; yearColumn = 2010, resighted by participant 11 April"
KNIGSALVA1,2010-04-16,2341-30134,P,"yearColumn = 2008, banded_3 Jul; yearColumn = 2009, resighted by participant 12 april, 8 august, 13 Sept; yearColumn = 2010, resighted by participant 1, 16 April"
KNIGSALVA1,2011-03-06,2421-11612,P,"yearColumn = 2010, Captured 6/1/2010; resighted 6/28/10; resighted by participant 8 Jan 2011; yearColumn = 2011, resighted by participant 6 March"
KNIGSALVA1,2011-03-06,2421-11614,P,"yearColumn = 2010, Captured 6/1/2010; yearColumn = 2011, resighted by participant 6 March"
KNIGSALVA1,2011-03-06,2590-82234,P,"yearColumn = 2009, banded 7/13; yearColumn = 2010, resighted by participant 8 Jan 2011; yearColumn = 2011, resighted by participant 6 March"
KNIGSALVA1,2011-03-06,2610-37309,P,"yearColumn = 2010, Captured 6/1/2010; resighted by participant 8 Jan 2011; yearColumn = 2011, resighted by participant 6 March"
KNIGSALVA1,2011-03-06,2610-37312,P,"yearColumn = 2010, Captured 6/1/2010; resighted by participant 8 Jan 2011; yearColumn = 2011, resighted by participant 6 March"
KNIGSALVA1,2015-11-15,2441-96389,P,"yearColumn = 2014, banded 7 July; yearColumn = 2015, Recaptured 6/18/2015; resighted by participant 10/27; 11/15"
KNIGSALVA1,2017-01-22,2641-63637,P,Good looking Male. Visiting Feeder.
KNIGSALVA1,2017-01-22,2641-64000,P,Male. Visiting feeders.
KNIGSALVA1,2017-01-23,2641-63637,P,Banded in 2013. Looking good.
KNIGSALVA1,2017-01-23,2711-77146,P,noData
KNIGSALVA1,2017-01-24,2641-96964,P,Male Northern Cardinal
KOBEDANPA1,2017-05-28,1352-45829,P,noData
KOBEDANPA1,2017-05-28,2651-56639,P,noData
KOPCTOMPA1,2016-05-15,1352-46362,P,"I selected A for left leg bottom band, but there was no band on the left leg at all. I wasn't able to select that option."
KOPCTOMPA1,2016-05-26,1352-46364,P,noData
KOPCTOMPA1,2016-08-23,1781-50430,P,"Left leg actually has no band, but it would not allow me to enter it that way."
KOPCTOMPA1,2017-03-20,1352-46004,P,noData
KOPCTOMPA1,2017-03-27,1352-46364,P,noData
KOPCTOMPA1,2017-03-28,1352-46362,P,Left leg has no band at all but I'm unable to select that option.
KOPCTOMPA1,2017-07-25,2730-26270,P,There is no band at all on the left leg but I could not enter it that way.
KOWAELIFL1,2015-06-14,1352-46104,P,noData
KRENMARGA1,2014-06-30,2641-63386,P,noData
KRENMARGA1,2014-07-04,1272-42462,P,noData
KRENMARGA1,2014-07-04,2641-63387,P,noData
KRENMARGA1,2014-07-04,2661-07999,P,noData
KRENMARGA1,2014-07-12,2641-63384,P,noData
KRENMARGA1,2014-07-12,2710-53753,P,noData
KRENMARGA1,2014-07-20,2641-63385,P,noData
KRENMARGA1,2014-07-20,2710-53755,P,noData
KRENMARGA1,2014-08-06,2641-63387,P,noData
KRENMARGA1,2014-08-08,2710-53753,P,noData
KRENMARGA1,2014-08-09,2641-63386,P,noData
KRENMARGA1,2014-10-12,2661-07999,P,noData
KRENMARGA1,2014-10-12,2710-53753,P,noData
KRENMARGA1,2014-10-12,2710-53755,P,noData
KRENMARGA1,2015-04-25,2641-63385,P,noData
KRENMARGA1,2015-05-17,1272-42462,P,noData
KRENMARGA1,2015-05-17,2641-63385,P,noData
KRENMARGA1,2015-05-17,2710-53753,P,noData
KRENMARGA1,2015-10-03,1272-42462,P,noData
KRENMARGA1,2016-05-11,2641-63385,P,noData
KRENMARGA1,2016-06-28,1292-64390,P,noData
KRENMARGA1,2016-07-07,2701-39034,P,noData
KRIVMAUGA1,2014-01-23,2710-53726,P,noData
KRIVMAUGA1,2014-01-23,2710-53728,P,noData
KRIVMAUGA1,2014-01-30,2710-53724,P,noData
KRIVMAUGA1,2014-01-30,2710-53727,P,noData
KRIVMAUGA1,2014-02-04,2710-53727,P,noData
KRIVMAUGA1,2014-02-07,2710-53728,P,noData
KRIVMAUGA1,2014-02-21,2710-53726,P,noData
KRIVMAUGA1,2014-02-28,2710-53724,P,noData
KRIVMAUGA1,2014-05-18,2641-63323,P,noData
KRIVMAUGA1,2014-05-22,2710-53725,P,noData
KRIVMAUGA1,2014-05-26,2710-53726,P,noData
KRIVMAUGA1,2014-05-29,2710-53724,P,noData
KRIVMAUGA1,2014-05-29,2710-53727,P,noData
KRIVMAUGA1,2014-06-16,2710-53727,P,noData
KRIVMAUGA1,2014-06-23,2710-53724,P,noData
KRIVMAUGA1,2014-06-24,2710-53726,P,noData
KRIVMAUGA1,2014-06-29,2710-53728,P,noData
KRIVMAUGA1,2014-06-30,2641-63323,P,noData
KRIVMAUGA1,2014-07-02,2710-53725,P,noData
KRIVMAUGA1,2014-07-04,2710-53728,P,noData
KRIVMAUGA1,2014-07-25,2710-53726,P,noData
KRIVMAUGA1,2014-07-25,2710-53727,P,noData
KRIVMAUGA1,2014-07-26,2710-53724,P,noData
KRIVMAUGA1,2014-08-15,2710-53725,P,noData
KRIVMAUGA1,2014-09-22,2710-53728,P,noData
KRIVMAUGA1,2014-09-29,2710-53726,P,noData
KRIVMAUGA1,2014-09-30,2710-53724,P,noData
KRIVMAUGA1,2014-09-30,2710-53727,P,noData
KRIVMAUGA1,2014-10-03,2710-53727,P,noData
KRIVMAUGA1,2014-10-03,2710-53728,P,noData
KRIVMAUGA1,2014-10-23,2710-53724,P,noData
KRIVMAUGA1,2014-10-25,2710-53726,P,noData
KRIVMAUGA1,2014-11-23,2710-53726,P,noData
KRIVMAUGA1,2014-11-29,2710-53728,P,noData
KRIVMAUGA1,2014-11-30,2710-53724,P,noData
KRIVMAUGA1,2014-11-30,2710-53727,P,noData
KRIVMAUGA1,2014-12-21,2710-53728,P,noData
KRIVMAUGA1,2014-12-28,2710-53724,P,noData
KRIVMAUGA1,2014-12-28,2710-53726,P,noData
KRIVMAUGA1,2014-12-28,2710-53727,P,noData
KRIVMAUGA1,2015-01-23,2710-53726,P,Band Number 2710-53726
KRIVMAUGA1,2015-01-23,2710-53728,P,Band Number 2710-53728
KRIVMAUGA1,2015-01-30,2710-53724,P,Band Number 2710-53724
KRIVMAUGA1,2015-01-30,2710-53727,P,Band Number 2710-53727
KRIVMAUGA1,2015-02-04,2710-53727,P,"Band Number 2710-53727
"
KRIVMAUGA1,2015-02-07,2710-53728,P,"Band Number 2710-53728
"
KRIVMAUGA1,2015-02-21,2710-53726,P,Band Number 2710-53726
KRIVMAUGA1,2015-02-28,2710-53724,P,"Band Number 2710-53724
"
KRIVMAUGA1,2015-03-24,2710-53724,P,noData
KRIVMAUGA1,2015-03-24,2710-53728,P,noData
KRIVMAUGA1,2015-03-27,2710-53726,P,noData
KRIVMAUGA1,2015-04-14,2710-53727,P,noData
KRIVMAUGA1,2015-04-29,2710-53726,P,noData
KRIVMAUGA1,2015-05-21,2651-47390,P,noData
KRIVMAUGA1,2015-05-31,2651-47303,P,noData
KRIVMAUGA1,2015-05-31,2651-47389,P,noData
KRIVMAUGA1,2015-05-31,2651-47391,P,noData
KRIVMAUGA1,2015-05-31,2651-47392,P,noData
KRIVMAUGA1,2015-05-31,2710-53726,P,noData
KRIVMAUGA1,2015-05-31,2710-53727,P,noData
KRIVMAUGA1,2015-05-31,2711-54817,P,noData
KRIVMAUGA1,2015-06-04,2711-54818,P,noData
KRIVMAUGA1,2015-06-08,2711-54817,P,noData
KRIVMAUGA1,2015-06-12,2710-53727,P,noData
KRIVMAUGA1,2015-06-22,2651-47392,P,noData
KRIVMAUGA1,2015-06-24,2651-47303,P,noData
KRIVMAUGA1,2015-06-28,2651-47391,P,noData
KRIVMAUGA1,2015-06-28,2710-53726,P,noData
KRIVMAUGA1,2015-06-30,2651-47301,P,noData
KRIVMAUGA1,2015-06-30,2651-47389,P,noData
KRIVMAUGA1,2015-06-30,2710-53728,P,noData
KRIVMAUGA1,2015-07-10,2651-47391,P,noData
KRIVMAUGA1,2015-07-21,2651-47392,P,noData
KRIVMAUGA1,2015-07-21,2710-53728,P,noData
KRIVMAUGA1,2015-07-22,2651-47389,P,noData
KRIVMAUGA1,2015-07-25,2641-63323,P,noData
KRIVMAUGA1,2015-07-26,2651-47303,P,noData
KRIVMAUGA1,2015-07-29,2710-53727,P,noData
KRIVMAUGA1,2015-07-30,2710-53726,P,noData
KRIVMAUGA1,2015-07-31,2651-47301,P,noData
KRIVMAUGA1,2015-08-14,2651-47391,P,noData
KRIVMAUGA1,2015-08-18,2651-47301,P,noData
KRIVMAUGA1,2015-08-23,2651-47392,P,noData
KRIVMAUGA1,2015-08-23,2710-53728,P,noData
KRIVMAUGA1,2015-08-25,2711-54818,P,noData
KRIVMAUGA1,2015-08-30,2651-47389,P,noData
KRIVMAUGA1,2015-08-31,2710-53726,P,noData
KRIVMAUGA1,2015-08-31,2710-53727,P,noData
KRIVMAUGA1,2015-09-08,2651-47389,P,noData
KRIVMAUGA1,2015-09-16,2711-54818,P,noData
KRIVMAUGA1,2015-09-28,2710-53728,P,noData
KRIVMAUGA1,2015-09-29,2710-53726,P,noData
KRIVMAUGA1,2015-09-29,2710-53727,P,noData
KRIVMAUGA1,2015-11-08,2641-63323,P,noData
KRIVMAUGA1,2015-11-09,2651-47301,P,noData
KRIVMAUGA1,2015-11-12,2710-53727,P,noData
KRIVMAUGA1,2015-11-23,2710-53728,P,noData
KRIVMAUGA1,2015-11-29,2651-47389,P,noData
KRIVMAUGA1,2015-12-08,2710-53727,P,"Band Number 2710-53727
"
KRIVMAUGA1,2015-12-11,2710-53726,P,"Band Number 2710-53726
"
KRIVMAUGA1,2015-12-24,2710-53728,P,"Band Number 2710-53728
"
KRIVMAUGA1,2015-12-26,2651-47389,P,"Band Number 2651-47389
"
KRIVMAUGA1,2016-01-02,2651-47389,P,"Band Number 2651-47389
"
KRIVMAUGA1,2016-01-18,2710-53728,P,"Band Number 2710-53728
"
KRIVMAUGA1,2016-01-28,2710-53726,P,"Band Number 2710-53726
"
KRIVMAUGA1,2016-01-28,2710-53727,P,"Band Number 2710-53727
"
KRIVMAUGA1,2016-01-30,2651-47301,P,"Band Number 2651-47301
"
KRIVMAUGA1,2016-02-02,2710-53726,P,"Band Number 2710-53726
"
KRIVMAUGA1,2016-02-08,2650-41427,P,"Band Number 2650-41427
"
KRIVMAUGA1,2016-02-16,2651-47389,P,"Band Number 2651-47389
"
KRIVMAUGA1,2016-02-18,2710-53727,P,"Band Number 2710-53727
"
KRIVMAUGA1,2016-02-22,2651-47301,P,"Band Number 2651-47301
"
KRIVMAUGA1,2016-03-12,2651-47389,P,"Band Number 2651-47389
"
KRIVMAUGA1,2016-03-19,2651-47301,P,"Band Number 2651-47301
"
KRIVMAUGA1,2016-03-28,2710-53727,P,"Band Number 2710-53727
"
KRIVMAUGA1,2016-03-31,2651-47303,P,"Band Number 2651-47303
"
KRIVMAUGA1,2016-04-06,2651-47391,P,"Band Number 2651-47391
"
KRIVMAUGA1,2016-04-06,651-47391,P,noData
KRIVMAUGA1,2016-04-13,2651-47301,P,noData
KRIVMAUGA1,2016-04-13,2651-47303,P,noData
KRIVMAUGA1,2016-04-13,2710-53726,P,noData
KRIVMAUGA1,2016-04-13,2710-53727,P,noData
KRIVMAUGA1,2016-05-06,2651-47303,P,noData
KRIVMAUGA1,2016-05-06,2710-53727,P,noData
KRIVMAUGA1,2016-05-20,2641-63323,P,noData
KRIVMAUGA1,2016-05-20,2651-47391,P,noData
KRIVMAUGA1,2016-05-20,2651-52438,P,noData
KRIVMAUGA1,2016-05-21,2641-63323,P,noData
KRIVMAUGA1,2016-05-22,2750-41426,P,noData
KRIVMAUGA1,2016-05-23,2710-53726,P,"Band Number 2710-53726
"
KRIVMAUGA1,2016-05-26,2651-47301,P,noData
KRIVMAUGA1,2016-06-08,2651-47391,P,noData
KRIVMAUGA1,2016-06-16,2641-63323,P,noData
KRIVMAUGA1,2016-06-16,2651-47301,P,noData
KRIVMAUGA1,2016-06-20,2710-53727,P,noData
KRIVMAUGA1,2016-06-22,2651-52438,P,noData
KRIVMAUGA1,2016-06-24,2710-53726,P,noData
KRIVMAUGA1,2016-06-28,2651-47303,P,noData
KRIVMAUGA1,2016-07-04,2710-53727,P,noData
KRIVMAUGA1,2016-07-10,2651-47301,P,noData
KRIVMAUGA1,2016-07-12,2710-53726,P,noData
KRIVMAUGA1,2016-07-18,2651-47303,P,noData
KRIVMAUGA1,2016-08-02,2651-52440,P,noData
KRIVMAUGA1,2016-08-08,2750-41426,P,noData
KRIVMAUGA1,2016-08-16,2651-52438,P,noData
KRIVMAUGA1,2016-08-20,2651-47303,P,noData
KRIVMAUGA1,2016-09-04,2710-53727,P,Band number 2710-53727
KRIVMAUGA1,2016-09-06,2750-41426,P,Band number 2750-41426
KRIVMAUGA1,2016-09-14,2651-47301,P,"Band Number 2651-47301
"
KRIVMAUGA1,2016-09-18,2651-47303,P,"Band Number 2651-47303
"
KRIVMAUGA1,2016-09-19,2710-53726,P,Band number 	2710-53726
KRIVMAUGA1,2016-10-06,2710-53727,P,noData
KRIVMAUGA1,2016-10-20,2651-52438,P,noData
KRIVMAUGA1,2016-10-21,2650-41427,P,noData
KRIVMAUGA1,2016-11-04,2750-41426,P,noData
KRIVMAUGA1,2016-11-14,2651-47301,P,noData
KRIVMAUGA1,2017-01-10,2710-53727,P,"Band Number 2710-53727
"
KRIVMAUGA1,2017-01-13,2651-47301,P,"Band Number 2651-47301
"
KRIVMAUGA1,2017-01-22,2641-63323,P,"Band Number 2641-63323
"
KRIVMAUGA1,2017-02-15,2750-41426,P,"Band Number 2750-41426
"
KRIVMAUGA1,2017-04-07,2650-41427,P,"Band Number 2650-41427
"
KRIVMAUGA1,2017-04-23,2651-47301,P,"Band Number 2651-47301
"
KRIVMAUGA1,2017-04-23,2710-53727,P,"Band Number 2710-53727
"
KRIVMAUGA1,2017-05-11,2641-63323,P,"Band Number 2641-63323
"
KRIVMAUGA1,2017-05-11,2750-41426,P,"Band Number 2750-41426
"
KRIVMAUGA1,2017-06-14,2710-25739,P,"Band Number 2710-25739
"
KRIVMAUGA1,2017-06-15,2651-47301,P,"Band Number 2651-47301
"
KRIVMAUGA1,2017-06-15,2671-01985,P,"Band Number 2671-01985
"
KRIVMAUGA1,2017-06-20,2750-41426,P,"Band Number 2750-41426
"
KRIVMAUGA1,2017-06-27,2651-52438,P,"Band Number 2651-52438
"
KRIVMAUGA1,2017-06-28,2711-77950,P,"Band Number 2711-77950
"
KRIVMAUGA1,2017-07-13,2710-25739,P,"Band Number 2710-25739
"
KRIVMAUGA1,2017-07-23,2711-77950,P,"Band Number 2711-77950
"
KRIVMAUGA1,2017-07-26,2651-47301,P,"Band Number 2651-47301
"
KRIVMAUGA1,2017-07-31,2641-63323,P,"Band Number 2641-63323
"
KRIVMAUGA1,2017-08-21,	2641-63323,P,"""Band Number 2641-63323 """
KRIVMAUGA1,2017-08-25,2711-77950,P,Band Number 2711-77950
KRIVMAUGA1,2017-08-29,2651-47301,P,Band Number 2651-47301
KRIVMAUGA1,2017-09-10,2711-77950,P,"""Band Number 2711-77950 """
KRIVMAUGA1,2017-09-11,2651-47301,P,"""Band Number 2651-47301 """
KRIVMAUGA1,2017-09-12,2750-41426,P,"""Band Number 2750-41426 """
KRIVMAUGA1,2017-09-15,2671-01984,P,"""Band Number 2671-01984 """
LADYKENNC1,2016-01-11,2180-92473,P,noData
LADYKENNC1,2016-01-11,2180-92474,P,noData
LADYKENNC1,2016-03-07,2180-92473,N,Sighted by a neighbor at her feeeder
LADYKENNC1,2016-05-11,2180-92473,P,noData
LADYKENNC1,2016-10-11,2180-92474,P,Sighted by a neighbor at his feeder
LAFOMELVA1,2015-08-04,2730-26426,P,"Also, non-banded Catbird.  The Carolina Chickadee is a frequent feeder to safflower seed feeder.  A female Hummingbird comes every afternoon to feed on Cardinal Flower and Bee Balm.  Two nesting pairs of Goldfinch are feeding at the Thistle seed sock.  There is a lot of Black-eyed Susan. 
"
LAFOMELVA1,2015-08-09,2571-90114,P,"There is a lot of activity when peanuts, suet, safflower seed, and Thistle seed are put out at the two pole feeders.  Northern Cardinals visit.  House Wrens, English Sparrows, Blue Jays, Fish and American Crows, Pigeons, Goldfinches, and a Hummingbird.   Our terrier mix dog does not like Crows or large birds at the feeders and will bark and run down the stairs to scare them away.  He has also eaten an occasional vole, chipmunk, baby squirrel, and baby rabbit."
LAFOMELVA1,2015-08-13,2561-56833,P,"yearColumn = 2012, Capture 7/28/2012; yearColumn = 2015, resighted by participant 13 August"
LAFOMELVA1,2015-09-01,2531-74543,P,"OK.  I really looked at this Catbird.  He was different from the one yesterday.  He ate no-melt suet with pepper in it.  He drank from the shallow pan that is on a pole and to the back of the yard.  This pan is shallow, about 5 ft. 3 in. off the ground, has two rocks in it and is flushed with fresh water everyday.  His eyes look clear.  He looks fat and he is alert.
The usual birds are coming to the feeders:  Mourning Doves, Bluejays, Red-headed Finches, two pairs of Goldfinches, a White-breasted Nuthatch.  But where are the House Wrens and the other banded birds? I often wonder where the birds go to get food, if they do not come to these two feeders.  The feeders are run fairly consistently throughout the year.  The food is peanuts, suet, bark butter, and safflower seeds.  Occasionally, I add a cone of nuts.  Thistle seed for Goldfinches in a sack.  Black-eyed Susan is fading.  Cardinal Flower is fading.  The Goldfinches love to land on the 14 ft. tall Sunflowers and swing back and forth.  The small birds frequently hang out in the taller of three Persimmon trees, then fly to the feeder.  Also, Chickadees hang out in the mature pine tree nearest the feeder, then come to the feeder that is closest to that bough and return to the pine tree.  I have  observed Hummingbirds totally bypass the sugar water feeder, alight and sip at Monarda, then fly straight up to the canopy of the mature elm that is 60 years old."
LAFOMELVA1,2015-11-04,2730-26426,P,"Sited first Junco of the season.  Two non-banded Chicadees came to feeder.  Also, Mourning Dove, BlueJay, Red-headed Finch, Carolina Wren sings in backyard.  American Crows and Pigeons are coming too. 2  Male and female Cardinals.  Do not see bands, Male and female Goldfinches go to the net bag. The Garden is going to seed.  Sundflowers are not blooming.  One last Aster in bloom.  Texas Sage is blooming.  Native sunflower is in seed.  White Wood Aster is finishing.  One raised bed was upended by the dog and 2 dead mice were found near the bed.  Chipmunks are everywhere.  Squirrels come to the feeder, sometimes get in, hand upside down and eat the Safflower seed.  Food put out:  2 large feeders of Safflower seed for small birds.  1 net sack of Njer seed, 1 board for bark butter, two blocks of suet.  On second feeder, a peanut wreath, 1 cone, 3 small cylindar feeders for Northern Cardinals. 
"
LAFOMELVA1,2016-01-20,2730-26426,P,"30degr. F, partly sunny, 2:01 p.m., 4 Mourning Doves, 1 Blue Jay, 1 Crow, 1 Female Cardinal, 2 Male Cardinals, 4 English Sparrows, 1 Chickadee (unbanded), 1 Tufted Titmouse, 1 Red-Headed Finch (male), 1 Carolina Wren,  2 Juncos, 1 Mockingbird, 1 Downy Woodpecker.
Mammals:  2 squirrels
"
LAFOMELVA1,2016-01-22,2730-26426,P,"The blizzard began.  Snow falling.  Chickadee at feeder.  For three days up to the storm, feverish feeding at the feeders.  Even the feeder on the side wall of the house was filled and emptied in a day.  Food:  2 blocks of suet, 2 large tubes of safflower seed that only small birds can feed at, 1 thistle sock, 1 peanut wreath, 3 smaller tubes of safflower seed."
LAFOMELVA1,2016-03-06,2730-26426,P,"Few if any birds alighting on backyard feeders, though full of safflower seed, peanuts, and thistle.  The one Chickadee came only briefly and flew.  One Goldfinch fed and then left.  It is as if there is a stony pall over the yard.  Then I saw a fox at 5:30 p.m. walking on our street.  I followed it and watched as it attacked and got a squirrel.  I took a photo of the fox.  It has black tips on its ears.  Neighbors say they have seen two others.  But the black-tipped ears is the mark of this one.  It is sleek and fat.  It may be the fox I saw attack a group of 4 squirrels and successfully take one out and proceed to eat it behind a bush in my front yard at 9 a.m. I was seated in the front seat of my car about to go to work.  I just sat still in the car and then, it looked at me and we locked eyes.  Its eyes were golden yellow and dark around the edges."
LAFOMELVA1,2016-06-10,2730-26426,P,"JLM: entered by participant as A/o,o. Participant: dMr. Orange band is back.  I waited for it to return. Two other smaller CACH were with him or her.  They came to the safflower feeder. Cardinals, Finches, Bluejays, Grackles, Nuthatches, English Sparrows, and a few Chipping Sparrows.  Tufted Titmouse, coming to the feeder.  The feeder offers different size tubes and two tubes for little birds.  The big birds go for the peanuts and the suet.  The Catbirds came later in the month.  I put up a suet and bug cone and already 4 blocks of suet.  I had to stop the bark butter because the wood peckers were slicing the bark on the Persimmon and pecking.  Catbirds are feeding furiously at the suet.  There are four. They fly in from the deeper part of the yard, perch in the Persimmon on alight on the suet."
LAFOMELVA1,2016-06-21,2730-26432,P,"I have a little window feeder that I see from my desk.  A CACH came to the feeder.  I have not seen this color band before. The feeder had safflower mixed with millet and peanuts, an assortment.  Temp.  80 degrees F, sunny, no rain as predicted."
LAFOMELVA1,2016-07-01,2651-56293,P,Seen at dusk.  7 p.m.  cone feeder.  with 3 other GRCA.  problems with squirrels coming in and feeding upside down on the feeder.  Put hot pepper sauce and it kept them off.  Put corn on the cob to the back of the backyard for them. Starlings and Grackls are aggressive. _x000D_
LAFOMELVA1,2016-07-01,2651-56294,P,"Also, 2 unbanded GRCA and unbanded NOCA.  Safflower seed feeder.  Hot, sunny late in the afternoon."
LAFOMELVA1,2016-07-02,2651-56293,P,Feeding frenzy.
LAFOMELVA1,2016-07-03,2641-96957,P,"Hatch year.  Weather is hot and sunny.  Some rain predicted.  The garden is a jungle.  Immature Nuthatch, Sparrows, many other unbanded Cardinals."
LAFOMELVA1,2016-07-03,2651-56296,P,"Also sited unbanded Chickadees, immature Downy - female.  Male NOCA fed female NOCA seed from feeder."
LAFOMELVA1,2016-07-06,2730-26426,P,Came to Safflower seed feeder.
LAFOMELVA1,2016-08-17,2651-56293,P,noData
LAFOMELVA1,2016-08-17,2730-26426,P,Other unbanded Chickadees feeding.  Northern Cardinals feeding.  Sunny this afternoon.  Rain now.  Wind. No feeding in rain.
LAFOMELVA1,2016-08-18,2661-31589,P,"Carolina Wren calling.  Do not see Robins.  Hummingbirds regularly feeding at feeding.  House Sparrows bathe frequently in groups in upper level of fountain.  Then fly to the gutter of the porch roof to sit, rub beaks on the edge of the gutter, fan out wing feathers, and then fly away."
LAFOMELVA1,2016-09-06,2750-41524,P,"Also sited:  2 unbanded younger looking Chickadees, 2 unbanded younger, smaller GRCA, 1 larger GRCA.  _x000D_ 4 hummingbirds coming to feeder.  First year of sighting two male hummingbirds.  Hummingbird feeder has a special mix of sugar water and a preservative that Wild Birds Unlimited sells.  H Feeders are changed and washed with a soy based soap every two days. Feeders have suet, and mixed blend of millet, peanuts, and safflower seed.  _x000D_ Flowers - Echinacea in bloom. Turtle Head in bloom. Wild Native sunflower finished. Bee Balm almost finished.  Cardinal flower still in bloom.  Hummingbird sited at Cardinal Flower. Coreopsis in full bloom.  Phlox is finished.  Zinnias are almost finished. Asters are on the verge of blooming.  Sunflower is almost finished.  Harvested 3 small pumpkins and some pole beans, hot chilly peppers.  _x000D_ Poison Ivy present in garden.  Poke Weed present. Trumpeter vine still blooming. _x000D_ Mammals sited - 1 vole, 1 mouse, 2 rabbits_x000D_ Also sited - Sharp-shinned hawk mobbed by two Crows._x000D_"
LAFOMELVA1,2016-09-23,2730-26426,P,2 unbanded Chickadees.  1 immature female cardinal.  2 unbanded cardinals.
LAFOMELVA1,2016-09-24,2711-77143,P,"Spotted a banded Tufted Titmouse, but none are one my lists.  It had aluminum and a white band.  Will look for it more closely.  Can hear it.  It is NOT a Carolina Wren song.  Will put out No Mess seed in all feeders, suet, and peanuts.  Will keep water in the bird bath.  _x000D_ Plants - Three pumpkins in beds, Roma tomatoes, and hot peppers.  Heath Aster is in bloom. Like snow in September. _x000D_ Basil is going to seed.  Will need to turn beds and prepare Kale and cabbage seedlings.  _x000D_ Rhododendron and other trees are stressed - - some die back.  Watering all in garden. _x000D_ Delphinium has not yet bloomed."
LAFOMELVA1,2016-09-25,2711-77143,P,"1 large unbanded Catbird coming to suet, one Hummingbird to hummingbird feeder, unbanded Chickadees, Nuthatch, unbanded Cardinals, Blue Jays, Crows.  _x000D_ One vole, one mouse, one rabbit.  1 Possom._x000D_ All went silent while gardening.  1 Red-tailed Hawk.  _x000D_ Plants in bloom - Native Sunflower, Snow White Aster, New England Aster in full bloom (a lot of Yellow Jackets),  Turtlehead, Black-eyed Susan, Coreopsis, Coneflower,Texas Sage.  Beauty Berry is making purple berries.  Bee Balm has finished.  Cardinal Flower all but finished.  Joe Pye Weed finished.  Spice Bush is showing a few yellow leaves.  The large Sugar Maple is stressed from the drought.  Watered everything.  Planted Christmas and Cinnamon Ferns, Anemone, and Lobelia.  Planted Cardinal flower."
